id,email,email2,id2,sentiment,date
25,60,86,19,500,2012-06-27
45,78,63,21,544,2006-09-12
66,63,3,76,927,1990-03-10
72,48,5,30,379,1949-09-27
56,86,54,22,680,1939-02-22
60,14,16,18,690,1942-10-04
59,83,47,18,229,1941-03-23
93,28,94,94,309,1916-01-30
7,82,85,7,594,1905-09-30
63,24,12,8,190,1997-11-03
10,88,39,100,896,1988-01-27
97,34,54,78,744,2001-07-20
20,85,22,7,62,1999-02-14
98,60,50,69,405,1979-06-04
14,48,99,86,766,1922-08-27
26,86,70,98,46,1993-12-24
81,23,82,80,234,1960-05-13
86,75,36,64,169,1934-12-06
98,34,64,3,524,1906-11-27
46,11,32,40,943,1995-01-23
34,91,90,15,150,1931-05-31
95,31,36,35,838,1915-06-24
61,47,80,75,478,1986-11-01
86,62,4,55,633,2003-02-08
86,54,18,22,644,1908-12-30
48,80,60,54,105,2015-02-06
2,98,44,12,45,1919-07-12
60,46,92,89,77,2011-02-18
80,39,48,63,39,1920-05-11
90,29,13,28,497,1924-04-17
89,14,89,79,913,1901-09-20
8,10,63,69,40,2001-05-27
63,35,28,96,525,1943-11-12
36,90,17,53,717,1958-05-04
34,1,39,51,355,2006-10-21
55,60,88,23,436,1910-06-28
42,66,31,2,511,1947-04-24
96,49,16,53,277,1937-01-04
90,72,93,3,400,1914-05-30
57,81,43,7,827,1988-12-26
81,41,22,49,367,1941-12-13
35,53,53,65,19,1982-02-03
54,57,13,16,929,1902-09-23
4,59,59,18,812,1902-08-23
9,10,13,22,333,1902-03-31
23,57,96,18,133,1946-12-12
68,69,53,97,834,2013-10-26
66,12,79,38,275,1931-07-07
24,25,80,16,833,2002-03-01
34,27,94,79,866,1933-03-18
62,21,61,12,825,1980-04-30
97,90,27,56,858,2016-07-24
26,26,16,20,531,2016-04-27
39,11,43,18,871,1994-10-16
46,22,94,94,471,1905-02-05
92,70,95,18,509,1915-06-06
3,64,34,56,534,1941-03-11
98,40,73,27,232,2009-05-03
12,73,59,94,374,1988-08-29
19,68,23,41,237,1927-10-10
16,22,78,17,984,1966-12-02
79,27,69,39,503,1935-07-10
74,35,56,47,98,1942-12-23
16,59,11,67,388,1920-12-28
52,64,56,59,277,2001-02-02
64,77,31,80,777,1962-03-06
62,87,55,74,992,1942-10-09
18,94,54,65,715,1900-05-22
50,32,76,18,920,1989-06-21
29,48,64,17,66,1916-12-15
56,90,56,54,305,2011-10-27
7,58,15,97,360,1992-06-15
62,75,86,2,627,1996-11-21
43,88,17,53,588,1900-10-17
69,70,57,63,785,2008-09-27
98,39,2,8,690,1959-11-13
100,95,77,80,642,1935-10-08
14,11,33,32,382,1998-10-29
14,1,25,85,803,1980-01-01
24,64,16,18,546,1922-08-07
87,14,96,69,375,1967-11-19
34,61,44,82,397,1962-07-31
41,11,17,85,940,1986-05-16
74,12,9,13,23,1945-03-29
54,45,8,15,878,1992-09-26
59,25,28,85,945,1928-12-18
45,5,61,33,245,2014-05-15
30,34,21,18,153,1912-12-11
92,69,81,62,668,1922-02-18
34,91,61,30,438,1939-09-13
50,86,39,36,689,1979-03-08
52,19,31,55,782,1956-04-19
31,3,63,81,246,1924-03-04
63,80,63,8,9,1993-03-08
80,72,98,45,742,1939-09-18
47,83,73,10,968,1917-07-04
16,28,58,82,738,1988-02-27
42,17,74,49,928,2014-09-23
45,17,36,49,656,1946-07-04
38,88,27,26,961,1946-12-01
70,18,9,3,770,1986-04-12
87,93,49,87,89,2016-10-16
85,24,97,5,378,1921-06-11
47,17,74,83,602,1917-02-20
2,6,65,69,424,1945-12-13
2,6,1,80,157,1960-06-06
84,100,66,15,887,1961-11-02
37,73,1,10,415,1975-11-07
31,92,96,59,396,1983-10-12
46,83,75,28,580,1916-06-09
93,70,40,83,715,1916-09-18
71,27,83,55,79,1989-06-13
2,59,47,59,643,1974-07-19
98,90,45,83,225,1962-02-01
55,37,60,15,309,1964-12-02
30,56,99,31,642,1992-06-19
7,28,47,20,851,1966-02-20
61,33,27,81,344,1966-10-30
58,15,65,42,973,1969-04-06
36,85,61,22,779,1924-06-14
88,43,96,45,715,1901-03-21
66,69,2,8,613,1963-08-14
60,2,29,4,349,1965-07-21
1,60,44,28,945,1927-02-11
48,7,19,63,80,1978-03-25
98,31,42,97,545,1982-06-24
7,74,9,89,65,1936-09-19
32,52,56,48,345,1914-11-07
34,7,72,62,13,2019-01-26
80,27,38,20,248,2011-04-13
81,11,45,79,247,1997-02-02
67,80,34,31,246,1934-01-13
39,86,40,97,177,1928-12-15
94,49,74,82,933,1940-11-01
79,10,97,20,19,1993-09-14
81,20,87,11,535,1984-01-24
44,17,75,48,808,1989-01-14
75,23,66,41,365,1974-10-02
18,46,37,66,765,1967-08-08
55,67,14,54,517,2015-10-24
8,51,23,7,772,1991-10-23
54,66,20,47,892,1977-11-27
96,35,26,67,807,1990-08-09
66,62,32,46,58,1971-04-02
51,72,67,49,359,2016-12-31
75,18,65,59,61,1901-09-04
69,18,92,43,823,1945-01-05
82,15,16,80,827,2009-08-17
66,72,1,12,509,2009-09-23
16,49,82,69,536,1958-12-06
7,35,40,70,662,1936-01-12
35,14,72,97,318,1938-04-16
98,74,6,82,815,1911-05-05
46,15,47,36,473,1952-06-04
32,7,14,77,91,2001-08-04
84,98,77,76,657,1941-04-18
15,15,54,30,588,1929-05-31
75,58,56,3,892,2004-04-15
94,53,45,66,964,2005-04-26
98,84,65,71,213,1926-06-30
27,20,99,69,867,1972-12-29
2,31,70,80,772,1957-01-26
16,39,96,83,51,1959-06-19
71,100,38,5,920,1940-08-22
41,47,11,18,172,1974-03-04
92,86,82,21,965,1935-11-15
88,6,14,59,859,1949-01-13
92,19,99,63,366,2005-12-07
29,47,64,46,900,1923-10-28
37,70,34,89,795,1990-07-13
22,19,84,4,960,2015-12-19
56,97,50,13,480,1988-12-19
88,59,74,80,293,1923-05-11
37,72,26,32,564,1912-09-29
72,58,65,7,355,2009-12-17
11,1,49,30,902,2018-12-29
91,82,66,59,711,1974-08-21
98,24,56,91,828,1963-02-21
7,47,31,29,709,1979-11-03
48,48,78,66,555,1924-05-23
55,10,59,17,507,1954-07-09
66,30,100,51,921,1911-04-06
28,86,86,55,502,2018-11-16
78,97,33,56,248,1945-09-16
1,79,49,7,351,1907-02-23
44,40,31,87,913,1977-02-05
95,30,66,92,301,1985-02-22
90,70,78,26,888,1961-05-25
5,53,98,15,134,1972-10-24
100,81,10,37,894,1913-05-12
64,7,15,53,227,1994-02-06
91,10,47,19,715,1996-01-06
98,81,6,91,770,1930-04-17
98,98,58,52,849,1912-12-08
80,62,46,60,169,2012-07-30
42,23,14,3,897,1948-02-15
76,27,1,84,406,1968-01-22
41,17,54,90,156,1905-11-04
22,44,62,40,626,1981-02-20
30,30,74,34,657,1900-07-08
58,4,32,58,111,1937-12-29
90,4,21,2,255,1926-07-21
58,26,88,83,686,1938-01-16
82,13,47,31,961,1979-08-01
72,32,85,50,579,1929-09-26
52,20,90,17,139,1970-05-13
17,5,34,89,433,1959-08-27
100,99,13,78,909,1923-07-30
10,27,35,91,855,1990-05-23
98,33,15,12,274,1920-04-28
36,67,53,31,964,1982-07-14
30,47,54,100,20,1987-12-01
99,2,4,66,151,1981-12-20
90,87,58,28,706,1910-12-18
23,20,9,40,712,1989-09-25
54,56,74,30,418,1929-12-02
45,50,39,11,283,1989-07-17
16,32,99,47,968,1934-05-11
39,37,57,66,446,1966-01-06
86,7,98,48,429,1915-04-30
29,55,51,82,287,1967-01-07
29,1,94,51,82,1977-06-09
44,23,91,7,724,1927-01-13
44,20,66,57,859,1912-10-01
39,51,11,23,143,1968-01-09
81,51,15,23,860,1925-12-28
23,95,71,82,984,2014-05-02
1,45,58,50,138,1927-08-28
1,4,1,74,693,2013-09-11
36,27,51,7,553,1915-08-09
51,20,80,21,809,2019-08-08
12,24,61,23,582,1949-02-01
79,53,1,36,632,2003-08-25
75,39,73,52,178,2011-06-23
92,22,13,35,60,1968-03-21
97,5,2,13,559,1996-10-02
14,19,76,18,630,1906-09-07
84,44,6,45,380,1953-04-15
94,61,68,22,68,1932-11-10
51,89,81,80,452,2007-04-06
95,86,21,95,821,2019-07-30
25,23,95,26,28,2005-05-23
35,52,100,64,388,2012-08-22
57,26,34,95,37,1915-11-05
93,15,82,47,247,1909-09-14
79,60,4,8,547,1986-12-02
74,19,85,88,255,1986-10-05
30,29,24,5,603,1932-11-10
73,43,66,46,363,1903-11-16
57,68,11,43,431,1924-07-07
67,8,30,84,236,1947-05-31
5,43,19,25,423,2008-12-20
55,42,58,48,465,1935-03-10
10,35,29,59,435,1976-10-08
72,5,19,3,361,1972-04-08
65,93,62,59,908,2002-02-02
77,98,92,3,813,1929-12-02
16,61,81,51,71,1915-02-24
36,93,94,67,906,1973-05-23
47,86,92,28,242,1900-10-13
37,97,29,87,404,2014-12-16
98,88,8,88,53,1916-05-20
81,31,53,59,508,1929-11-19
92,88,96,6,900,1947-06-03
74,61,27,90,535,1975-05-23
10,87,33,3,455,2007-08-08
80,85,43,80,645,1907-07-30
55,59,66,20,106,1953-11-22
45,68,18,36,135,2018-06-10
41,57,79,89,613,2015-01-29
17,94,87,1,594,1922-10-08
45,16,78,38,736,1932-10-17
83,89,20,73,528,1918-02-08
39,13,73,51,79,1924-08-02
17,53,30,68,928,1913-10-18
91,36,10,80,144,1999-01-12
33,4,56,31,839,2004-01-13
61,88,3,9,304,1966-05-18
44,88,20,67,246,1997-10-02
62,13,38,76,337,1950-11-05
12,80,95,8,584,1948-10-14
12,96,95,57,298,1961-07-08
72,10,34,33,511,1950-04-02
93,70,55,56,46,1978-05-25
47,29,95,96,897,1940-09-11
40,45,24,28,825,1983-08-14
89,45,96,16,211,1928-08-27
88,54,90,2,573,1907-05-13
33,49,28,70,853,1960-12-04
27,53,57,73,872,1939-02-07
47,22,43,66,276,1991-06-04
8,21,75,71,953,1941-06-10
91,9,29,46,940,1946-12-10
90,19,32,12,308,1938-01-28
25,74,99,48,152,2010-11-25
71,35,33,96,863,1963-09-13
62,64,82,40,925,1936-06-16
50,50,13,9,889,2000-07-16
92,72,45,72,600,2019-01-11
56,80,22,66,114,1947-04-08
9,57,76,52,108,1976-10-05
63,91,76,43,119,1968-01-02
25,44,49,5,380,2008-02-24
19,98,91,76,895,1933-07-05
30,55,10,48,54,1974-03-25
12,9,18,79,649,1973-10-07
80,85,42,67,43,1996-06-16
65,58,84,90,877,2004-07-30
70,57,29,62,843,1979-08-02
84,66,44,74,673,1916-03-19
49,58,50,76,224,1934-12-03
21,61,74,98,820,2014-10-11
14,58,29,44,659,1945-10-12
24,93,87,66,145,1966-04-03
79,73,42,50,684,2004-10-11
51,3,3,3,792,2009-04-25
33,44,49,25,245,1916-09-03
71,10,63,23,954,1909-01-30
14,54,39,55,686,1960-12-23
29,26,44,32,334,1983-03-09
21,99,34,55,972,1932-05-14
73,41,95,73,754,1975-02-08
54,13,74,82,372,1933-02-15
60,95,2,18,47,1981-03-13
60,89,57,78,759,1985-05-26
21,10,51,79,191,1934-07-29
55,79,44,97,624,1966-08-09
16,16,81,52,404,2012-03-07
10,4,69,95,275,1964-09-30
82,42,9,56,803,2014-07-14
29,56,86,3,490,1926-07-19
97,33,69,42,153,1963-09-05
20,75,64,78,842,2002-10-12
71,65,30,46,970,2003-09-08
83,63,27,47,191,1936-10-11
84,49,74,87,482,1945-01-15
15,10,2,97,719,2013-08-26
32,12,78,4,45,1935-08-18
3,100,97,94,860,1979-10-05
87,4,50,95,271,1951-05-24
19,11,84,37,215,1962-07-11
87,97,62,51,721,1941-08-23
98,78,14,87,424,2011-07-09
91,15,76,84,507,1972-04-01
18,2,73,85,711,1920-08-25
59,69,59,53,744,1927-11-14
90,50,7,8,139,1969-08-08
2,80,48,52,818,1953-11-09
32,76,25,1,450,2018-02-23
96,43,16,12,515,1945-05-07
86,51,74,57,154,1919-03-18
24,85,56,32,596,2001-12-12
31,93,26,34,953,1963-04-05
58,94,55,7,741,1959-07-24
39,43,56,85,441,1980-10-11
17,15,84,32,874,1989-05-30
50,37,61,95,969,1911-01-31
61,40,61,4,483,1998-07-16
70,99,13,79,603,1993-07-05
5,82,36,62,547,1994-04-16
48,24,29,83,584,2004-10-26
93,52,79,64,686,1917-07-13
34,19,85,50,628,2001-03-13
40,63,53,74,68,2015-01-17
16,47,53,18,563,1921-07-18
18,72,14,84,439,2014-10-29
89,67,63,14,513,1990-05-26
53,28,39,27,962,1943-05-17
67,15,47,55,87,2012-09-16
67,88,44,100,517,1949-02-05
82,45,59,35,517,1954-10-22
89,3,13,42,618,1975-02-24
15,90,65,13,428,1973-07-10
75,90,29,7,800,1961-12-27
88,37,2,90,415,2008-06-14
20,96,70,65,51,1935-11-02
51,7,38,83,303,2008-05-12
39,11,44,96,62,1998-02-22
89,52,44,43,687,1971-11-05
37,50,33,35,303,1960-09-15
39,19,92,70,338,1944-10-05
54,53,79,86,867,1930-09-07
53,15,6,38,992,1922-10-26
63,75,54,36,951,1904-08-25
64,21,73,48,873,2000-07-21
75,73,30,99,90,1911-05-08
55,96,50,5,370,2011-03-20
54,98,54,89,810,1955-06-19
65,66,48,4,254,1951-09-02
95,42,31,21,24,1935-08-17
73,6,3,26,263,1985-04-23
23,2,77,4,585,2010-03-14
8,13,15,9,834,1918-05-29
24,65,31,82,801,1904-09-02
95,51,8,92,146,1998-08-23
85,46,78,98,648,2003-04-03
11,79,54,60,104,1980-06-12
48,64,81,36,657,2016-12-08
47,15,35,29,161,1911-06-24
88,93,97,66,641,1986-11-11
4,49,33,21,92,1919-04-30
3,51,61,54,870,1904-11-10
100,33,53,6,409,1940-11-26
56,29,26,60,310,1959-07-08
22,87,92,37,461,1946-11-23
30,72,26,52,906,1946-02-19
71,58,49,99,778,1941-11-16
78,5,36,21,996,1999-06-13
81,45,88,26,799,1982-06-06
94,99,67,34,630,1956-12-22
93,33,39,14,146,2004-12-23
94,73,32,63,950,1996-12-24
21,58,16,2,931,2016-12-24
38,2,31,4,383,2008-05-06
2,92,62,52,328,1947-11-28
85,81,15,4,847,1902-10-14
5,8,2,71,782,1949-12-27
90,50,61,12,592,1944-01-24
17,89,60,98,519,2011-09-16
48,20,88,15,126,1996-12-29
81,55,10,22,658,1977-09-23
23,24,52,19,47,1964-08-11
25,55,12,56,684,1905-08-25
30,4,60,19,6,1961-02-06
36,93,100,23,586,1938-05-30
9,49,38,88,25,1979-12-24
63,75,67,57,942,1978-07-16
15,65,88,83,358,2008-08-29
99,74,58,8,724,2008-10-29
49,43,79,87,468,1910-11-24
8,77,24,43,210,1940-02-18
26,3,62,75,1000,1977-04-28
17,51,13,27,35,1928-10-16
62,90,1,73,470,1996-10-25
11,53,30,30,699,1993-02-21
19,54,64,3,526,1985-04-19
49,97,76,16,73,1934-04-17
82,86,10,32,347,1999-12-18
57,90,5,85,755,1900-12-03
43,15,51,77,469,1966-01-21
59,96,79,46,59,1914-02-11
25,79,73,24,89,1973-09-09
86,68,46,83,853,1970-08-29
20,34,38,88,904,1914-10-29
84,64,48,39,69,1994-12-24
58,29,17,95,101,1979-01-19
3,59,79,39,242,1906-05-04
42,88,53,51,666,1909-05-01
88,50,95,4,540,1967-05-19
91,44,42,13,76,1932-11-06
96,26,89,4,210,1932-03-23
21,9,12,70,701,1942-09-17
1,44,60,67,326,1943-08-03
95,27,60,72,963,1954-07-26
29,21,11,27,375,1951-10-06
80,33,24,37,756,2008-06-23
11,47,51,1,563,1900-04-24
89,59,16,99,33,1932-09-14
69,40,64,65,914,1924-01-17
52,45,3,9,929,1975-04-15
82,34,41,65,935,1909-02-20
93,35,85,75,137,1907-04-07
93,63,95,77,963,1921-10-25
11,53,19,13,689,1931-11-13
71,47,6,99,727,1931-03-15
39,63,63,9,263,1951-05-23
29,7,15,1,802,1981-01-18
73,56,34,91,57,1946-08-03
81,71,21,2,986,2002-07-23
64,76,80,31,761,1934-04-06
41,41,99,6,927,1955-05-19
94,99,76,67,138,1936-02-11
12,42,56,91,265,1988-12-17
91,19,96,64,395,1987-05-19
38,51,17,2,628,1996-08-25
7,13,70,88,703,1991-12-01
2,38,3,31,78,1953-06-19
84,96,44,72,57,1939-10-17
46,54,18,88,658,2005-10-07
54,14,65,12,305,2007-09-09
59,43,66,87,762,1945-12-11
35,12,79,80,728,1974-03-02
50,30,49,67,876,1925-12-26
70,53,92,39,156,1906-04-10
43,96,22,5,643,1983-09-27
34,38,19,43,151,1983-10-23
82,90,7,71,328,1923-01-14
73,68,22,57,608,1914-10-06
38,55,57,30,987,1968-09-28
70,11,18,35,797,1941-10-29
76,62,5,94,946,1925-06-24
13,100,91,32,726,1902-04-29
64,13,78,11,508,1915-04-04
88,93,20,58,6,1978-11-14
42,50,87,57,960,1971-01-16
32,26,2,86,538,1901-06-26
95,88,81,74,930,2014-06-18
68,44,45,3,593,1941-12-23
9,52,54,44,910,1955-07-05
92,14,26,23,116,1989-11-01
42,33,48,4,251,1919-01-17
65,36,98,65,481,1984-07-26
39,43,13,23,615,1919-02-23
95,77,78,15,728,1939-07-06
64,94,23,61,565,1905-06-28
72,15,35,45,252,1944-09-19
14,46,69,51,645,1913-07-02
56,68,87,92,472,2000-11-16
11,10,50,98,322,2000-01-27
49,40,4,73,939,1924-03-22
69,8,63,51,642,1945-10-05
86,36,87,34,820,1961-07-05
97,33,96,89,708,1956-07-30
43,10,99,1,601,1912-12-20
8,97,94,15,351,1951-05-07
43,97,67,92,807,1922-01-01
76,46,28,25,771,1919-12-07
87,90,100,70,100,1914-01-30
81,13,53,10,844,1981-02-14
52,94,79,16,323,1918-03-22
61,35,19,95,553,1954-04-03
75,5,58,8,169,2010-01-30
49,68,27,77,897,2008-10-05
12,76,39,55,881,1924-06-13
73,83,97,69,873,1993-07-09
76,34,80,72,752,1979-03-16
74,60,15,34,823,1904-06-29
35,24,77,26,981,1933-10-04
66,53,58,4,831,2017-04-03
77,62,25,33,300,1936-02-16
97,17,24,96,4,1990-09-19
35,72,11,74,468,1972-04-29
44,17,21,84,51,1949-09-03
86,89,94,48,130,1916-11-11
31,98,81,21,691,2002-05-29
86,17,6,55,383,1915-09-18
88,9,71,18,185,1975-02-07
99,18,2,46,282,1915-07-15
88,56,53,66,950,1955-02-28
74,26,93,3,705,1920-08-07
28,59,63,27,568,1951-08-23
27,59,35,44,609,2017-10-05
58,7,49,2,220,1940-09-08
87,49,29,35,32,1923-06-11
48,81,14,86,808,2012-11-24
46,97,6,56,306,2016-03-27
86,39,2,6,499,1927-02-25
29,72,82,5,162,1916-11-19
89,91,35,96,730,1979-12-29
16,32,63,62,101,2003-03-15
11,38,83,75,703,1998-10-26
76,79,70,82,228,2014-06-15
85,5,54,91,269,1976-01-03
60,68,37,84,590,1983-02-21
86,79,16,40,392,1934-11-15
33,72,27,84,608,1990-03-04
44,85,88,7,603,2012-06-27
16,21,6,35,918,1937-03-22
74,20,70,35,467,1937-01-10
9,26,69,69,721,1946-05-31
67,24,3,6,500,2005-03-12
73,37,5,59,49,1954-01-27
57,76,77,18,516,1985-05-05
17,83,62,32,275,2003-02-18
67,7,34,63,850,1970-11-21
37,72,92,86,621,1902-07-17
19,62,85,20,821,1944-07-25
45,72,67,58,217,1972-02-22
27,29,22,35,874,1959-08-17
7,28,48,7,877,1928-02-07
32,35,11,99,943,1967-12-06
28,71,85,23,619,1908-11-06
34,18,18,97,821,2006-09-06
73,86,73,10,9,1904-01-12
69,43,25,75,891,2000-01-15
67,58,77,12,640,1939-02-23
43,56,90,73,132,1920-09-26
91,41,95,53,336,1934-04-20
3,46,49,36,6,1938-07-26
90,9,6,99,419,1974-10-28
67,76,46,87,513,1945-01-07
74,31,49,36,675,1927-09-16
58,77,88,15,621,2000-09-08
84,26,9,98,146,1943-10-22
24,93,93,8,57,2016-05-05
51,85,40,1,742,1965-05-11
51,42,18,9,954,1921-07-29
41,2,47,41,904,1939-01-28
53,63,1,74,473,1920-04-01
60,38,19,9,856,2018-01-04
3,84,41,8,201,1960-12-21
53,55,7,55,882,2006-04-16
63,20,92,19,634,1978-05-10
98,2,45,85,62,1965-02-01
8,72,25,23,469,1955-07-05
74,67,2,39,939,1916-12-05
96,33,18,80,919,1967-08-09
35,8,66,76,658,1905-04-28
57,93,77,98,316,1964-05-03
40,40,85,23,575,1922-02-13
71,52,12,21,295,1949-11-12
75,4,61,45,720,1911-07-26
10,67,41,41,642,1947-12-28
10,37,54,73,900,1969-05-13
19,58,19,4,785,2008-05-05
60,61,59,44,799,1914-06-01
52,41,62,84,68,1910-05-27
43,75,97,64,283,1957-03-06
29,45,17,84,778,2010-06-25
76,53,64,56,385,1999-04-22
88,95,17,43,758,2001-03-12
4,96,83,26,509,2013-10-29
33,3,79,8,966,1964-09-19
88,37,84,44,435,1937-03-20
81,63,79,39,61,1925-04-30
17,5,68,96,670,2009-05-06
11,89,100,19,364,1979-01-18
21,32,15,50,157,1967-04-07
14,32,27,60,985,1930-02-03
13,79,47,23,37,1960-04-20
72,7,37,18,324,1938-11-24
75,16,19,82,647,1954-05-30
22,98,27,92,125,1935-01-22
54,87,35,68,559,1978-06-09
58,91,77,97,962,1929-01-19
34,75,49,9,740,1931-06-15
10,72,44,35,797,1985-04-24
7,60,3,1,849,1971-11-15
22,4,73,44,743,1977-08-14
55,47,90,31,521,1964-07-17
72,93,31,61,354,1949-04-15
50,6,63,71,409,1913-02-01
41,74,36,80,536,2007-10-14
30,51,66,82,572,1921-01-05
14,24,21,1,813,1934-08-15
49,24,24,4,331,1954-12-05
18,64,71,90,567,2011-02-01
84,6,91,21,58,1962-09-29
22,38,47,31,135,1939-09-13
35,67,86,46,388,1953-04-24
30,79,26,92,522,1991-07-06
53,90,33,70,102,1965-01-20
95,34,77,90,28,1976-04-20
10,9,43,20,758,1908-10-20
4,3,84,57,320,1980-07-28
44,20,63,79,747,1942-10-28
2,80,47,49,410,1941-04-07
74,1,80,79,544,2010-01-18
29,11,89,60,645,2009-07-24
81,49,58,9,496,2012-01-28
24,33,14,75,720,1908-11-13
39,92,28,86,311,1985-11-13
48,24,14,86,953,1917-03-01
92,45,81,21,603,1917-02-13
81,53,1,67,458,1983-02-07
26,35,65,53,837,1971-08-04
52,22,89,29,535,1959-12-10
24,31,57,69,139,1947-05-07
19,25,44,75,651,1937-07-04
9,40,83,20,370,1918-05-15
58,1,16,50,385,1924-08-02
26,21,82,95,298,1961-11-19
87,51,3,26,947,1903-03-31
10,26,20,1,454,2005-03-27
32,6,63,95,772,2009-06-10
12,68,3,23,416,1962-11-24
64,19,49,47,822,1921-04-08
50,68,99,40,362,1979-10-04
59,40,59,43,626,1910-05-09
69,100,83,21,198,1979-08-30
13,18,96,95,810,1978-02-27
50,33,29,66,923,1971-12-16
3,60,17,94,119,1955-05-15
